1309156605.44,100.0,0.468
1309156965.72,100.0,0.733
1309157205.84,100.0,0.001
1309158046.64,102.0,0.5
1309221242.8,100.01,1
1309230276.51,100.005,2.0
1309230876.93,100.0,0.084
1309231297.2,100.0,0.189
1309245645.96,100.01,1
1309247387.18,100.01,0.05
1309251470.1,102.0,0.5
1309257835.08,100.01,0.63
1309316800.84,109,1
1309325427.26,107,1
1309341820.36,100.01,0.7
1309396617.28,105,1
1309397998.02,106,1
1309413186.25,106.9,4
1309414266.48,105.5,1
1309415586.86,105.01,2
1309417988.01,105.01,0.2
1309420810.07,105.01,0.1
1309424472.47,100.0,0.5
1309424532.52,100.0,0.5
1309435759.93,100.01,1.7
1309482463.76,100.003333333,3
1309484144.52,100,1
1309487806.93,100.0,1.777
1309499095.93,100.0,4.5
1309500537.05,101,2
1309506661.4,100,1
1309508883.15,100,2
1309522093.48,90.0,0.2
1309548934.88,100,1
1309585321.9,100,1
1309597329.69,95.0,0.2
1309625516.63,97.0,0.5
1309651794.32,96.0,0.5
1309651854.32,91.01,0.64
1309668604.83,96.0099009901,2.02
1309674548.91,96,2
1309676590.18,91.01,1.64
1309681693.85,91.01,2.47
1309682054.01,91,2
1309687756.52,91.0,2.18
1309749960.67,92,1
1309752844.2,96,4
1309755066.52,97.0,0.48
1309764377.43,92,3
1309771464.96,96,2
1309771825.32,97.0,2.52
1309788583.39,92.01,0.017
1309788823.63,92.01,1
1309788943.75,92.01,0.133
1309789123.93,96.0,0.007
1309818377.59,91.01,0.5
1309818437.65,90.0,0.5
1309820359.88,90.0,0.39
1309828588.57,90.0,0.45
1309833994.83,90.0,0.66
1309836397.2,88,4
1309842341.62,88.0,4.5
1309843001.98,88,5
1309850809.99,90.0,0.34
1309856155.78,86.04,0.48
1309857837.15,88,1
1309858017.31,96.0,0.04
1309863301.86,86.53,0.1
1309868165.88,86.52,0.58
1309899993.07,90,4
1309902875.51,90.0,0.49
1309916746.65,90.0,0.5
1309921070.3,90.0,0.01
1309922511.49,89.0,3.995
1309924312.98,86.9,5.05
1309932118.3,86.9,0.27
1309938857.26,89.0,0.005
1309944561.21,89,5
1309945101.57,87.0,0.26
1309948283.47,87.0,1.91
1309960231.57,89.7,0.05
1309961912.86,90.0096153846,1.04
1309968215.41,95.99,0.022
1309968575.46,89.7,4.95
1309970616.38,90.0,0.04
1309972357.74,96.0,1.153
1309973198.49,97.007518797,1.33
1310013134.34,89.39,1
1310019799.46,94.9661538462,2.6
1310019979.62,94.9966666667,3
1310025204.78,95,1
1310035655.09,95,1
1310038057.46,95.01,0.77
1310038117.52,95.01,0.23
1310043943.23,99.8603614458,0.83
1310044183.47,99.87,0.01
1310051210.3,99.87,0.1
1310091228.24,98.0,0.358
1310098315.06,99.875,1.0
1310098375.12,99.88,0.71
1310103059.75,99.89,0.004
1310106242.92,99.89,1
1310106363.04,99.89,3.286
1310106423.1,98.01,0.642
1310119576.86,98.0,0.83
1310119998.44,98.01,0.13
1310120058.5,98.01,0.04
1310142642.07,95,4
1310170631.43,95.0,0.35
1310179220.76,95.0,0.65
1310190934.09,95,1
1310194417.55,92.01,2.35
1310200963.95,92.01,0.68
1310201564.54,92.00776,1.25
1310205168.01,92.0,0.971
1310221084.22,93,1
1310221264.41,93,1
1310227510.09,97.78,1.022
1310230332.69,95.0,0.106
1310254954.47,92.0,0.1
1310255855.3,94.92,3
1310260960.63,92.0,0.16
1310261381.5,92.0,0.084
1310279097.96,92.01,0.251
1310279218.08,92.0,0.229
1310296876.84,94.98,0.3
1310297597.9,94.98,2
1310299880.21,94.994,3.25
1310303063.25,98.0,0.197
1310350682.33,94.98,1
1310351102.75,94.98,1
1310352244.24,94.9933333333,3
1310356991.76,93.5,1.56
1310366838.32,93.5,0.7
1310372184.07,93,1
1310375067.62,95,5
1310375548.1,95,5
1310388102.12,93.6,0.74
1310390024.41,93.6,0.16
1310391105.51,93.5136986301,0.73
1310392246.7,90.9452554745,1.37
1310400355.29,91,1
1310402337.56,90.5,0.638
1310406481.71,90.0967914439,1.87
1310410085.75,90.0,1.213
1310439393.69,95.98,1
1310439453.75,95.98,0.045
1310443717.83,95,1
1310444738.93,92.0,0.5
1310448281.76,95.48,1
1310449122.44,95.98,1.955
1310449963.12,95.0,0.05
1310456148.08,96,1
1310457889.68,96,1
1310458069.77,96.88,4
1310458370.06,97.0,0.1
1310458430.11,97.0,0.9
1310461252.51,95.3389830508,2.95
1310461432.61,93.0,0.049
1310462933.79,95.21,0.81
1310464374.71,95.21,0.19
1310465395.51,95.11,1
1310469178.45,94.51,1
1310469238.51,94.01,1
1310469358.63,93.0,0.951
1310471640.81,95.2,1.05
1310477046.5,94,1
1310477286.74,95.0,0.39
1310477647.1,95.2,1.95
1310478848.3,95.21,0.52
1310480109.56,95.21,0.01
1310482572.16,95.3,5
1310482932.58,95.0306333333,6.0
1310482992.64,94.0,0.25
1310511883.21,93.56,0.25
1310516841.18,93.0,0.89
1310517501.71,95,1
1310517561.77,95.0,0.11
1310518822.48,95.01,0.89
1310520503.59,94.0,1.23
1310523806.19,92.0,2.0
1310525127.43,92.0,0.5
1310525367.65,91.08,10
1310530952.2,93.0,0.05
1310531732.82,91.1,0.34
1310533233.82,91.1,3.0
1310534194.77,91.5,1
1310534795.32,91.1325,4
1310538098.1,91.2,1.23
1310538818.65,91.2375,4
1310539719.34,91.3,0.3
1310541460.78,93.0,0.95
1310541520.84,93.01,0.05
1310542721.97,91.25,1
1310546625.32,91.3,0.54
1310547105.69,93.01,0.45
1310549928.01,93.9,0.3
1310550228.28,94.78,1.7
1310551789.38,93.02,0.08
1310552870.28,94.7,1
1310555512.35,93.02,0.47
1310567402.69,94,1
1310568844.01,94.7774285714,1.75
1310568964.13,94.78,0.25
1310569264.43,94.8,0.1
1310569444.59,94.8,0.01
1310570045.16,94.78,1
1310571186.12,93.0,0.5
1310575990.45,93.01,0.982
1310596228.12,93.3958333333,1.2
1310596288.18,93.02,0.46
1310605896.79,94.78,1
1310607758.5,93.17,1
1310609079.63,93.16,1.03
1310609560.03,93.16,1.11
1310609740.18,93.16,2
1310612442.6,93.0836363636,0.22
1310615085.05,93.05,1.02
1310615565.46,94.78,1
1310616166.04,94.78,1
1310616226.08,94.94,4
1310616406.21,96.0,0.2
1310619528.62,96.0,0.007
1310620129.03,96,1
1310623311.44,95.99,1
1310623551.6,93.1,0.5
1310624572.45,93.3,2.5
1310626732.99,94.99,1
1310627273.23,93.3,0.9
1310627333.27,93.1,1.1
1310631356.23,93.12,0.01
1310631836.61,93.11,0.5
1310633097.27,94.98,0.5
1310635319.01,93.12,0.56
1310635919.52,93.12,0.01
1310636699.9,93.12,0.481
1310637179.98,93.12,0.001
1310640060.88,94.7,0.1
1310644383.63,93.7,0.7
1310648465.56,93.6,0.4
1310648585.63,94.5992063492,3.78
1310648645.67,94.8271323529,2.72
1310648705.73,94.99,1
1310651167.73,94.9905,2.0
1310658433.31,93.11,1.2
1310660174.81,93.1005016667,6.0
1310660234.84,93.1,3
1310662216.32,93.09301,2.0
1310663776.94,93.0254355556,4.5
1310674163.67,93.0,0.243
1310689595.21,91.75,4
1310697282.15,94.0,2.0
1310697522.39,94.165,1.0
1310697582.45,94.55,0.187
1310702685.28,94.0,0.1
1310705446.97,94.0,0.22
1310705506.97,94.5,0.3
1310706227.64,94.5,0.02
1310706347.76,94.5,0.02
1310706587.99,94.5,0.065
1310715237.21,91.24,1
1310716979.36,94,2
1310719083.0,94.0,0.05
1310724609.12,93.55,10
1310735481.48,91.5647863248,2.34
1310736262.81,93.89,1.0
1310743170.25,94.0,1.0
1310743470.55,94.0,0.148
1310744972.75,94.0,0.127
1310746955.18,94.01,0.873
1310777347.72,91.99,0.77
1310777648.02,92,10
1310777768.14,91.1711845244,28.923
1310779510.03,94.0,0.01
1310783534.18,90.1,1
1310784014.67,90.02,0.001
1310784134.81,90.02,0.001
1310785636.31,90.03,1
1310786236.86,90.03,0.03
1310788879.44,91.0,0.2
1310790140.54,92.99,1.075
1310790801.19,92.99875,1.0
1310790981.36,93,1
1310791522.18,91.0,0.001
1310796207.61,93.0,0.126
1310797108.51,93.01,0.874
1310802334.18,93.0,0.4
1310803475.32,93.0,0.11
1310803835.62,93.5,0.004
1310803955.73,93.5,0.03
1310807679.32,91.1,1.1
1310807859.5,93.5,4.0
1310807919.56,93.5,0.34
1310807979.62,93.5,0.01
1310809060.66,93.5,0.5
1310815426.39,91,1
1310824434.72,93.5,0.599
1310830080.16,90.0075090909,5.5
1310831281.23,90.01,1.11
1310861549.64,90.01,1.39
1310868036.04,90.41,0.23
1310873441.14,90.01,0.23
1310873501.2,93.3,1
1310874642.29,93.7678782157,4.237
1310877284.8,93.88,0.763
1310879867.21,92.0,1.03
1310880047.39,92,3
1310880407.68,92.0,16.97
1310882449.67,92.0,0.05
1310886533.62,88.89224,10.0
1310887794.79,92.0,0.63
1310888335.33,92.0,0.1
1310892839.88,92.0,0.013
1310895302.31,91.99,0.1
1310897284.3,88.88,1.74
1310900827.93,90.8103448276,0.58
1310901488.53,90.45125,0.2
1310909056.72,87.434718,5.0
1310912480.11,91.4997219522,5.143
1310916263.89,91.0,0.016
1310935544.49,85.0297206261,5.047
1310947197.24,85.01,0.24
1310952843.18,85.01,1
1310953083.42,85.01,0.76
1310953143.48,84.51,0.7
1310960410.79,84.991,1.0
1310960651.19,84.6233333333,0.6
1310960891.43,84.5385714286,1.4
1310962033.11,85.0,0.1
1310962153.49,85.0,0.2
1310962454.04,89.2,0.267
1310962754.48,89.5,0.5
1310963535.26,89.99,1.3
1310964376.1,89.99,1
1310966718.7,85.11,0.98
1310966778.76,89.98556,1.0
1310969721.67,86.01,1
1310973325.54,86.0,0.83
1310974706.91,89.96,0.13
1310982695.05,86.0,4.17
1310982755.11,85.1286192469,7.17
1310982815.17,85.0,3.7
1310989121.81,84.5,0.1
1310991223.9,84.5,0.51
1310998792.13,85.0,0.08
1311000233.74,82.0348717949,1.17
1311003296.91,88.49,2.2
1311004618.1,88.49,0.69
1311005338.69,88.48,3.55
1311010562.45,84.88,5
1311017406.47,84.9,1.69
1311018307.2,84.9,0.26
1311020889.5,85,1
1311031997.2,85.9258715596,5.45
1311032237.37,88.5,3.81
1311037760.68,85.3272727273,1.1
1311038541.02,88.5,1
1311038601.03,89.7558,1.0
1311038661.05,89.93365,2.0
1311038781.08,89.987115,2.0
1311039741.44,89.9998075,4.0
1311040762.51,90.0,1.0
1311040822.57,90,2
1311041122.95,90.0,0.215
1311041363.19,90.0,0.462
1311064711.35,85.11,0.05
1311081889.62,89.88,0.001
1311082009.85,85.11,0.001
1311082069.91,87.495,0.002
1311082190.03,89.88,0.001
1311082250.09,85.11,0.001
1311082370.21,89.88,0.001
1311082430.27,85.11,0.001
1311082670.51,89.88,0.001
1311082790.63,88.29,0.003
1311082850.69,85.11,0.002
1311088737.23,87.55,0.002
1311088857.35,89.0,0.001
1311088917.41,86.1,0.001
1311090058.55,89.0,0.004
1311119551.26,86.1,0.68
1311121473.41,89.0,2.994
1311123455.75,89.0,0.006
1311125318.04,89.88,0.1
1311128201.07,88.44,0.002
1311130363.36,88.88,0.03
1311130543.66,88.88,1.0
1311131925.17,88.88,0.005
1311133546.78,88.88,0.2
1311136189.5,87.0,1.999
1311136489.8,88.8,1.102
1311137751.03,88.8,0.001
1311138591.96,87.45,0.002
1311143938.03,88.71,3.0
1311143998.09,88.8,0.05
1311144418.51,88.8,0.05
1311145259.35,88.5,0.09
1311145379.47,88.8,0.696
1311145499.59,88.88,0.065
1311145739.85,89.87,0.001
1311146040.15,89.935269,10.0
1311146160.27,90.0,4.105
1311146700.81,90.0,1.4
1311147601.71,90.0,4.495
1311149643.75,87.5,1
1311150905.19,87,1
1311153848.41,87.0,2.36
1311155470.03,87.0,3.24
1311156010.57,89.96,0.5
1311157632.19,89.96,1.0
1311157812.37,89.96,1
1311159133.74,87.0,1.31
1311159313.92,89.96,1.0
1311160815.55,87.0,0.6
1311162136.87,86.8848684211,3.04
1311162196.93,86.3,2
1311163758.5,86.0,0.26
1311164419.16,86.0,0.37
1311165740.52,89.4,0.001
1311170966.29,85.17,1
1311173008.69,85.17,1
1311216613.97,85.18,0.92
1311219496.85,88.86,0.01
1311219616.97,88.86,0.055
1311219677.03,88.86,0.002
1311228926.82,87,2
1311230488.38,86.81,1.5
1311230608.5,86.64,1.856
1311233311.2,87.0,2.05
1311234091.98,88.8,0.1
1311243401.83,88,1
1311245924.43,87.98,1.6
1311249768.51,85.19,1
1311255834.89,86,2
1311256195.25,85.1535942029,3.45
1311258237.64,85.15,0.48
1311258357.75,85.1281967213,1.22
1311260820.22,85.12,2
1311264784.91,85.13,1
1311265085.21,86,1
1311265505.63,86,1
1311265625.75,86,1
1311271392.56,85.12,0.1
1311285807.6,85.11475,4.0
1311286828.71,86.66,1
1311294996.98,85.11,1.25
1311298420.63,86.99,0.01
1311301303.87,85.11,5
1311301724.29,85.11,0.003
1311305988.95,85.58,2
1311306049.01,85.5,1
1311307130.09,86.96,2.2
1311311575.33,85.2,2
1311312536.37,86.49,0.1
1311312776.61,85.0895909091,2.2
1311323708.07,85.02,0.39
1311323828.19,85.0,0.55
1311323948.31,85.0,0.11
1311328572.93,85.0,0.427
1311328693.05,81.0,0.5
1311335299.65,83,1
1311338062.41,83.0,1.9
1311338182.53,83.0,0.35
1311342026.36,83.0,0.65
1311347371.76,85.5,1
1311347732.12,85.51,4
1311348753.14,85.9833333333,4.5
1311348813.2,86,3
1311349353.75,87.5,2.31
1311349413.81,87.98,4.706
1311350915.31,82.0,0.001
1311353558.02,88,3
1311365931.51,88,1
1311373076.47,88,1
1311373796.93,86.0,2.35
1311387485.66,86.0,0.7
1311396309.76,87.48,1
1311398351.21,85.975,2.0
1311406155.6,86.02,1
1311406335.69,86.01,0.07
1311409998.27,85.505,2
1311410058.33,85.09,0.8
1311411259.07,85.031,1.5
1311411319.11,84.173125,0.8
1311411379.16,86.996875,16
1311416482.72,86.98,0.385
1311421406.67,84.2305,2.0
1311422907.83,86.96,1.86
1311423568.48,86.96,4
1311428251.57,85.2,1
1311429152.3,85.11,2.11
1311430533.17,86.95,2
1311436537.15,85.0706279683,9.475
1311441462.45,85.98,1.5
1311445006.08,86.9,0.02
1311445246.32,86.9,0.02
1311445306.38,85.01,2.06
1311468474.68,85.8,1.3
1311470876.53,86.88,0.096
1311471356.95,86.88,1
1311471957.31,86.88,0.174
1311473398.45,86.88,0.1
1311474059.02,85.9,2
1311475800.34,85.1601085776,3.684
1311476580.62,86.8,1
1311479102.67,84.26,1
1311487629.36,86.26,0.4
1311487809.44,86.66,2
1311489671.02,86.58,2
1311490751.91,86.5,1
1311492013.0,86.26,0.6
1311492073.06,84.33,0.76
1311492553.54,84.3267692308,1.3
1311493034.04,84.2630395137,3.29
1311493154.16,86.5,0.001
1311496457.46,86.48,1
1311498980.23,86.474,5
1311500241.49,84.2693314955,2.902
1311504505.87,83.1505798067,3.001
1311506668.23,83.0020242915,0.247
1311506728.29,83.0,0.001
1311506788.35,82.0,0.5
1311506908.47,83.01,0.35
1311515076.94,86.46,0.1
1311516578.62,86.46,0.3
1311539869.81,86.4,0.1
1311554461.72,85.0,1.45
1311561905.94,86.3,1
1311561965.98,86.3,1
1311562506.34,86.3,4
1311562746.54,86.4039431913,4.788
1311562926.69,86.3657504521,2.212
1311563106.81,86.3,2.13
1311563166.86,86.3,2.871
1311564127.66,86.0,0.05
1311564307.82,86.0,2.169
1311564607.98,86.42,0.9
1311564788.13,86.4273261066,3.321
1311564848.19,86.45,0.8
1311565088.35,86.45,0.73
1311565568.65,86.46,4.6
1311565808.76,86.5,0.3
1311565868.76,86.46,1
1311566108.99,86.63993,5.0
1311566169.05,86.8117817818,4.995
1311566229.11,86.86,1.5
1311566289.17,86.8845666667,6.0
1311566349.23,86.46,2.9
1311566589.47,86.9,2.09
1311566829.71,86.945,4
1311566889.77,86.99,3.519
1311567310.19,86.984,1.0
1311567430.31,86.46,1
1311568631.51,87.9443839662,2.37
1311569472.35,88,2
1311570673.55,87.9892,11.0
1311571934.81,86.4898507463,1.34
1311572054.93,87.9740722735,6.171
1311576379.56,86.46,0.16
1311580884.36,86.46,0.14
1311581665.14,87.93,0.305
1311583166.68,87.93,0.5
1311584368.4,87.93,1.645
1311584428.46,87.94,1
1311584608.64,87.95,1
1311584728.76,87.95,0.7
1311584969.0,87.94,1.306
1311585689.72,87.94,0.54
1311590734.93,85.02,1.24
1311597762.3,87.88,1
1311599204.04,87.0,0.73
1311599564.54,87.1714285714,1.4
1311600885.85,87.88,2
1311601426.39,87.94,1.994
1311601546.51,87.96,3
1311603348.31,88.91,4
1311604129.3,89.8823803424,8.587
1311604189.36,90.0,1.413
1311604249.42,90.0,0.133
1311606532.05,90.0,0.954
1311606592.11,90.0,4.046
1311607132.65,88.0,2.386
1311609054.57,90.9770754717,4.24
1311609114.63,91,2
1311609174.69,91.9833333333,1.5
1311609234.75,92,1
1311609294.81,93.020746888,2.41
1311609354.87,93.99,1
1311609414.93,94.98,7.204
1311614280.42,94.38,2
1311626893.62,90,1
1311630377.3,90,1
1311632959.87,90,3
1311635181.99,89,4
1311641728.43,89.01,1
1311642208.91,89.01,1
1311642629.33,89.01,0.022
1311643229.93,89.01,1.24
1311643830.53,89.01,1
1311645332.03,89,1
1311645752.45,88.0,5.614
1311648695.84,89.0,1
1311649596.78,87.94,0.007
1311649837.02,88.69649,1.0
1311651398.63,89.9750418513,2.031
1311655722.96,89.88,3
1311658305.53,89,1
1311659086.31,88.22,1
1311659987.21,88.3,1.12
1311660047.27,88.11,1
1311660347.57,88.1,1.08
1311662389.65,88.1,0.5
1311665753.1,88.1,1.03
1311665933.28,88.1,0.245
1311666894.51,88.1010981697,6.01
1311667134.83,88.76,0.02
1311667495.4,88.76,1
1311671700.32,88.75,0.1
1311671760.64,88.75,0.025
1311672421.58,88.1,1.146
1311672962.12,88.75,1
1311673622.85,88.7539700375,1.335
1311681852.36,88.5,1.5
1311682332.84,88.5,0.44
1311682452.96,89.9826666667,1.5
1311683233.81,89.99,2.012
1311683413.99,88.51,0.56
1311683834.41,88.45,0.5
1311684374.95,88.2,0.11
1311691041.7,89.999826,50.0
1311692062.8,90.0,0.5
1311693083.82,89.95,0.105
1311696327.22,89.5,0.001
1311698643.12,89.5,0.198
1311715280.63,90.0,2.16
1311721825.49,90.0,1.169
1311722966.32,90.0,1.5
1311723446.68,90.0,0.171
1311725007.8,89.0,1.79
1311729151.15,89.01,1
1311730411.99,90.0,0.011
1311732093.39,90.0,1.1
1311733534.22,89.99,0.1
1311734915.07,90.03558,5.0
1311735515.61,89.0044642857,1.12
1311735815.85,89.0,2.59
1311735935.97,88.51,0.41
1311737436.92,88.51,0.59
1311737496.98,88.25,1.11
1311737556.99,90.2,0.568
1311746863.26,90.8,1
1311751126.19,90.0,0.799
1311751186.24,90.0,0.201
1311751486.53,88.4052673923,2.113
1311751546.57,88.39,0.006
1311755088.26,90.2,0.432
1311755688.47,90.0,0.9
1311755988.59,90.2,0.001
1311757309.15,90.2,0.567
1311758209.52,88.41,1.4
1311758269.53,88.4,0.5
1311759409.99,90.0,1.455
1311761270.64,88.39,1.445
1311761870.9,90,1
1311772436.63,88.43,3
1311772496.69,88.42,0.68
1311784024.76,89.88,3
1311784084.82,89.88,3.522
1311784805.44,89.88,0.478
1311786846.62,89.88,0.92
1311787086.84,89.99,3
1311787387.07,90.0,4.763
1311788287.74,89.8833090909,11.0
1311791830.02,89.88,0.49
1311805880.66,89.88,0.252
1311806000.69,89.56,0.748
1311810263.89,89.56,2.862
1311812425.47,88.5,0.063
1311817108.31,88.5,2.4
1311817228.42,88.5,2
1311820650.94,89.56,0.768
1311821311.33,90.1,5
1311822331.98,90,2
1311822452.05,90.0,0.92
1311822992.49,90.819,10
1311824733.17,90.98,3
1311824793.18,91.0,2.0
1311825814.01,90,2
1311829055.45,90.0,0.595
1311830135.87,90.0,0.008
1311831576.36,90.0,0.397
1311831756.51,89.56,0.232
1311833857.95,88.6,4.524
1311836439.94,88.634,5
1311843945.03,89.96,3
1311844425.35,89.64,1.5
1311847187.31,89.96,1.11
1311856553.88,89.9696774194,0.31
1311856914.08,89.97,0.69
1311856974.13,88.64,0.86
1311859615.84,88.64,1.24
1311860156.34,88.6397774781,2.966
1311860276.39,88.63,1.29
1311861237.09,88.63,1.644
1311861297.15,88.62,3
1311861357.19,88.52,1.356
1311863938.92,89.98,1
1311869643.25,88.532,5.0
